	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2,			
A,	0, 87, 13,	0, 100, 0,	0, 93, 7,	0, 100, 0,	0, 100, 0,	0, 78, 22,	0, 81, 19,	0, 69, 31,	0, 56, 43,	0, 73, 27,	0, 67, 33,	0, 55, 45,	0, 33, 67,	
K,	0, 78, 22,	0, 77, 23,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 76, 24,	0, 63, 37,	0, 61, 39,	0, 78, 22,	0, 73, 27,	0, 73, 27,	0, 73, 27,	0, 83, 17,	
Q,	0, 86, 14,	0, 72, 28,	0, 86, 14,	0, 100, 0,	0, 93, 7,	0, 54, 46,	0, 72, 28,	0, 81, 19,	0, 89, 11,	0, 83, 17,	0, 76, 24,	0, 67, 33,	0, 67, 33,	
J,	0, 75, 25,	0, 70, 30,	0, 71, 29,	0, 83, 17,	0, 95, 5,	0, 63, 37,	0, 61, 39,	0, 89, 11,	0, 83, 17,	0, 73, 27,	0, 73, 27,	0, 47, 53,	0, 0, 100,	
T,	0, 72, 28,	0, 70, 30,	0, 66, 34,	0, 66, 34,	0, 82, 18,	0, 69, 31,	0, 46, 54,	0, 84, 16,	0, 85, 14,	0, 35, 65,	0, 16, 84,	0, 0, 0,	0, 0, 0,	
9,	0, 100, 0,	0, 76, 24,	0, 67, 33,	0, 67, 33,	0, 70, 30,	0, 76, 24,	0, 41, 59,	0, 86, 14,	0, 79, 20,	0, 37, 62,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
8,	0, 95, 5,	0, 66, 34,	0, 29, 71,	0, 42, 58,	0, 60, 40,	0, 60, 40,	0, 67, 33,	0, 75, 25,	0, 82, 18,	0, 77, 23,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
7,	0, 82, 18,	0, 31, 69,	0, 0, 7,	0, 0, 0,	0, 0, 16,	0, 0, 29,	0, 30, 39,	0, 64, 36,	0, 89, 11,	0, 77, 23,	0, 45, 55,	0, 0, 0,	0, 0, 0,	
6,	0, 69, 31,	0, 0, 43,	0, 0, 6,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 24,	0, 64, 36,	0, 73, 27,	0, 79, 20,	0, 0, 36,	0, 0, 0,	
5,	0, 76, 24,	0, 0, 19,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 62, 37,	0, 64, 36,	0, 65, 35,	0, 0, 0,	
4,	0, 54, 46,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 65, 35,	0, 4, 34,	0, 0, 0,	
3,	0, 34, 66,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 64, 36,	0, 0, 0,	
2,	0, 0, 39,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 62, 37,	
